rollhi,rolllo,distance
TB_0003,TB_0135,27.5680975042
TB_0003,TB_0137,27.5680975042
TB_0037,TB_0503,43.8634243989
TB_0037,TB_0513,43.8634243989
TB_0095,TB_0050,16.1245154966
TB_0239,TB_0260,27.2029410175
TB_0335,TB_0130,37.947331922
TB_0368,TB_0125,34.5253530033
TB_0382,TB_0610,39.0896405714
TB_0386,TB_0064,47.1593044902
TB_0386,TB_0191,47.1593044902
TB_0386,TB_0201,47.1593044902
TB_0386,TB_0471,47.1593044902
TB_0386,TB_0529,47.1593044902
TB_0433,TB_0211,27.6405499222
TB_0433,TB_0344,27.6405499222
TB_0433,TB_0437,27.6405499222
TB_0433,TB_0493,27.6405499222
TB_0436,TB_0493,19.6977156036
TB_0446,TB_0493,24.3310501212
TB_0446,TB_0211,24.3310501212
TB_0446,TB_0344,24.3310501212
TB_0446,TB_0437,24.3310501212
TB_0462,TB_0125,40.049968789
TB_0476,TB_0477,41.9046536795
TB_0508,TB_0486,35.2703841771
TB_0509,TB_0513,33.6452076825
TB_0581,TB_0493,19.6977156036
TB_0612,TB_0551,45.0777106783
